"";"URL";"Info";"Direccion";"Precio";"Superficie";"Habitaciones";"Planta";"Longitud";"Latitud"
"11";"https://www.idealista.com/inmueble/30767692/";" ""Si buscas una vivienda espaciosa, de gran calidad, bien comunicada y con grandísimas zonas verdes en Madrid, no dejes pasar esta gran oportunidad para familias (4 habitaciones, 3 cuartos de baño, 2 plazas de aparcamiento, una de ellas opcional, para tres coches y trastero) Piso exterior, 4ª planta, de la prestigiosa promotora Baluarte, garantizando las mejores calidades de toda la zona, con muy buen sistema de domótica. Vivienda de lujo en urbanización cerrada, con vigilancia física 24 horas, zonas verdes privadas, piscina exterior y piscina cubierta climatizada interior con SPA, baño turco y sauna, además de un completo gimnasio. La comunidad cuenta también con salas comunes polivalentes para diversas actividades. La vivienda consta de 4 habitaciones, la principal en suite con baño propio, todas con armarios empotrados completamente vestidos. Agua caliente central, calefacción individual por hilo radiante y aire acondicionado por circuito. Suelos de mármol y tarima de madera de haya. Cocina totalmente equipada, con cuarto tendedero-lavadero, con secadora, pila de lavado y lavadora. Situado en una inmejorable zona de Madrid, muy cerca del centro pero con amplias y preciosas zonas verdes (Parque del Planetario y Parque de Tierno Galván), magníficas comunicaciones (M-30, M-40, Atocha-Renfe, Intercambiador de Méndez Álvaro, autobuses y metro L6), centros comerciales y cines ( El Corte Inglés, Cines Cinesa Méndez Álvaro, Imax Madrid, Planetario de Madrid). Mejor ver."" ";"Piso en venta en calle de las nebulosas, 2, Delicias, Madrid";"7e+05";"145";"4";"4ª";"-3.6840581";"40.3942391"
"12";"https://www.idealista.com/inmueble/32353743/";" ""JORSA INMOBILIARIA & ABOGADOS VENDE: A tan solo cinco minutos del metro de Barajas se localiza este estupendo ático de dos habitaciones con un baño, cocina y salón comedor. Acceso a terraza desde la habitación principal, salón comedor y cocina. Terraza de ochenta metros cuadrados con orientación este, sur y oeste. Mucha luz natural y agradables vistas a zonas comunes. Urbanización cerrada con vigilancia 24 horas, zonas verdes, infantiles con columpios, mesas de ping-pong, cancha de fútbol y dos piscinas (adultos y niños). La vivienda cuenta con plaza de garaje y un amplísimo trastero con armario y cajoneras a medida). Perfecto ático con agradables zonas comunes, vistas y muy bien comunicado.Nos satisface que haya elegido usted uno de nuestros inmuebles, puede contactar con nosotros y aprovecharse de las ventajas que le ofrecemos:-Experiencia en el sector inmobiliario.-Asesor personal experto exclusivo para orientarle y ayudarle durante todo el proceso.-Servicio integral con las máximas garantías.JORSA INMOBILIARIA & ABOGADOS le ofrece un servicio integral de consultoría e intermediación dentro del sector inmobiliario español.Nos avalan muchos años en el sector y un equipo altamente cualificado de profesionales con experiencia en la tasación, comercialización y asesoramiento jurídico para la adquisición o venta de su inmueble.JORSA INMOBILIARIA & ABOGADOS cuenta con Agente de la Propiedad Inmobiliaria Titulado y Abogado en ejercicio.Desde nuestros inicios JORSA INMOBILIARIA & ABOGADOS ha mantenido siempre unas máximas que han marcado la diferencia: prioridad en el cliente y ofrecer un servicio siguiendo lo más altos estándares de calidad. Máximas que han llevado a JORSA INMOBILIARIA & ABOGADOS a convertirse en la inmobiliaira líder en comercialización de viviendas en venta y alquiler en la zona de Coronales, Alameda de Osuna y Timón y en la inmobiliaria de referencia de distritos como Salamanca o Chamberí, con varias oficinas en Madrid."" ";"Ático en venta en del timón, Timón, Madrid";"360000";"160";"2";"3ª";"-3.5859609";"40.4745089"
"13";"https://www.idealista.com/inmueble/29437954/";" ""Posiblemente uno de los mejores chalets de Mirasierra. Muy cerca del colegio Monte Alto. La propiedad se haya protegida con un muro de valla metálica, así como de un seto de coníferas que la aísla de los chalets vecinos. Tiene tres entradas: una automatizada para vehículos, otra de peatones, y una tercera de servicio. Las dos últimas están dotadas de videoportero. Todas las ventanas son de aluminio lacado reforzado. Paredes con aislamiento térmico y acústico. Dispone de una piscina para adultos y otra para niños. Amplio jardín.El chalet consta de planta baja, planta principal y planta primera. Planta baja: En esta planta nos se encuentran situados el cuarto de calefacción, cuarto de juegos, bodega, un pequeño taller y un baño de servicio para la piscina.Planta principal: Gran vestíbulo de entrada, salón, despacho, comedor, cocina, office, despensa, cuarto de plancha, dos dormitorios de servicio y un baño de servicio. Sala de estar y baño. Dos amplias terrazas.Planta primera. Cuatro dormitorios en suite, dos de ellos con vestidor.La zona de Mirasierra está dotada de amplios servicios de todo tipo (médicos, comerciales, colegios, centros deportivos). Muy buenas comunicaciones en metro y autobús. Tiene salida directa ala M-30 y M-40, y, a través de ellas, a las principales carreteras nacionales que salen de la capital."" ";" Casa o chalet independiente en venta en Salou, Mirasierra, Madrid";"4200000";"714";"6";"Hipoteca 10.781 eur/mes - ";"-3.7121545";"40.4863153"
"14";"https://www.idealista.com/inmueble/27942041/";" ""Acabados en madera de haya en suelo y frentes de armarios, paredes lisas todas pintadas en blanco, baños y cocina con mismo diseño variando color gres, baño principal con bañera y ducha incorporado en dormitorio principal, 14 armarios empotrados, todas las estancias con ventana, espacios muy amplios. Cercanías, metro, EMT y carril bici en la puerta.A 10 minutos andando del Prado, Reina Sofía, Caixa Forum, parque de El Retiro, Matadero y parque Madrid Río."" ";"Piso en venta en paseo de las Delicias, 59, Delicias, Madrid";"510000";"189";"4";"2ª";"-3.6942191";"40.3984616"
"15";"https://www.idealista.com/inmueble/33871459/";" ""JORSA INMOBILIARIA & ABOGADOS VENDE: Espectacular ático en la zona de los Coronales. Tres habitaciones con mucha luz natural y dos de ellas con acceso a la terraza principal de 50 metros cuadrados, dos baños (uno de ellos en suite), hall de entrada, cocina con amplio office y salón también con comedor y acceso a terraza principal, desde la cual accedemos a la segunda terraza solárium de 75 metros cuadrados, amplia y con todas las orientaciones, acomodada para barbacoas y agradables reuniones familiares. Ático en urbanización cerrada con vigilancia 4 horas, zonas verdes, infantiles y dos piscinas (una de ellas para niños y separada de la principal). Cuenta con plaza de garaje y trastero.(segunda plaza de garaje opcional).Nos satisface que haya elegido usted uno de nuestros inmuebles, puede contactar con nosotros y a provecharse de las ventajas que le ofrecemos:-Experiencia en el sector inmobiliario.-Asesor personal experto exclusivo para orientarle y ayudarle durante todo el proceso.-Servicio integral con las máximas garantías.JORSA INMOBILIARIA & ABOGADOS le ofrece un servicio integral de consultoría e intermediación dentro del sector inmobiliario español.Nos avalan muchos años en el sector y un equipo altamente cualificado de profesionales con experiencia en la tasación, comercialización y asesoramiento jurídico para la adquisición o venta de su inmueble.JORSA INMOBILIARIA & ABOGADOS cuenta con Agente de la Propiedad Inmobiliaria Titulado y Abogado en ejercicio.Desde nuestros inicios JORSA INMOBILIARIA & ABOGADOS ha mantenido siempre unas máximas que han marcado la diferencia: prioridad en el cliente y ofrecer un servicio siguiendo lo más altos estándares de calidad. Máximas que han llevado a JORSA INMOBILIARIA & ABOGADOS a convertirse en la inmobiliaria líder en comercialización de viviendas en venta y alquiler en la zona de Coronales, Alameda de Osuna y Timón y en la inmobiliaria de referencia de distritos como Salamanca o Chamberí, con varias oficinas en Madrid."" ";"Ático en venta en Campo de las Naciones-Corralejos, Madrid";"750000";"150";"3";"4ª";"-3.5954035";"40.4645348"
"16";"https://www.idealista.com/inmueble/1730603/";" ""SE VENDE piso en la c/Eduardo Barreiros. Urb. privada con piscina, zonas comunes, garaje, trastero y vigilancia 24 h. 6ª Planta, dos ascensores. 2 habitaciones, 2 baños, salón-comedor, terraza cerrada, cocina y tendedero. 81, 20 metros cuadrados. Tarima laminada color haya, ventanas climalit, calefacción, aire acondicionado frío/calor, piso amplio y muy luminoso. Opcional entregar amueblado. Muy bien comunicado, 50 metros de parada autobús, Renfe, metro, M30 y m40. También en alquiler (sin trastero) 850 euros/mes distribución: 3 vecinos en el edificio."" ";"Piso en venta en calle Eduardo Barreiros, 128, Los Ángeles, Madrid";"270000";"82";"2";"6ª";"-3.7054205";"40.3528591"
"17";"https://www.idealista.com/inmueble/1665429/";" ""A ESTRENARático-tríplex de 169, 17 m2 + terraza en salón de 20, 43 m2 + terraza-ático de 28, 32 m2 + bajo-cubierta de 20, 50 m2. ascensor privado en cada piso. urbanización cerrada con vigilancia. trastero. conserjería. posibilidad de 3 plazas de aparcamiento por piso. inmejorables calidades: mármol travertino en solado de toda la casa, madera de haya vaporizada en escaleras y puertas. sistema inteligente de suelo radiante/refrigerante, para frío/calor. carpintería exterior mixta aluminio/madera distribución: terraza descubierta de 50 m2 2 vecinos en el edificio."" ";"Dúplex en venta en calle Araiz, 8, Aravaca, Madrid";"1060000";"190";"4";"2ª";"-3.7781758";"40.4605528"
"18";"https://www.idealista.com/inmueble/27093726/";" ""GRACIAS, RESERVADO. JORSA INMOBILIARIA & ABOGADOS VENDE: Piso en la mejor zona de la Alameda y junto al metro de Alameda de Osuna, se localiza este inmueble con mucha luz natural y agradables vistas. tres habitaciones, principal con baño en suite y terraza, salón comedor de 35m y amplia cocina con office. El inmueble necesita reforma integral. Muchas posibilidades. Edificio con ascensor, amplias zonas comunes, jardines y servicio de portería. Barrio residencial con excelentes colegios públicos y privados, institutos de enseñanza secundaria, zona comercial y de ocio, biblioteca, centro cultural y polideportivo. cerca del aeropuerto y el campo de las naciones. al lado del parque capricho y el parque juan carlos i. Incluido en precio opción del club Brezo.Nos satisface que haya elegido usted uno de nuestros inmuebles, puede contactar con nosotros y aprovecharse de las ventajas que le ofrecemos:-Experiencia en el sector inmobiliario.-Asesor personal experto exclusivo para orientarle y ayudarle durante todo el proceso.-Servicio integral con las máximas garantías.JORSA INMOBILIARIA & ABOGADOS le ofrece un servicio integral de consultoría e intermediación dentro del sector inmobiliario español.Nos avalan muchos años en el sector y un equipo altamente cualificado de profesionales con experiencia en la tasación, comercialización y asesoramiento jurídico para la adquisición o venta de su inmueble.JORSA INMOBILIARIA & ABOGADOS cuenta con Agente de la Propiedad Inmobiliaria Titulado y Abogado en ejercicio.Desde nuestros inicios JORSA INMOBILIARIA & ABOGADOS ha mantenido siempre unas máximas que han marcado la diferencia: prioridad en el cliente y ofrecer un servicio siguiendo lo más altos estándares de calidad. Máximas que han llevado a JORSA INMOBILIARIA & ABOGADOS a convertirse en la inmobiliaira líder en comercialización de viviendas en venta y alquiler en la zona de Coronales, Alameda de Osuna y Timón y en la inmobiliaria de referencia de distritos como Salamanca o Chamberí, con varias oficinas en Madrid."" ";"Piso en venta en calle Rioja, Alameda de Osuna, Madrid";"240000";"135";"3";"7ª";"-3.5895925";"40.4586489"
"19";"https://www.idealista.com/inmueble/32032156/";" ""Inmobiliaria Induo ofrece piso de 265 m2 en Urbanización de lujo en distrito puerta del Hierro. La vivienda ubicada en una primera planta de una Urbanización de lujo en una parcela de 10.000 m2 tiene magnificas vistas y luminosidad. Compuesta por un amplio salón de 60 m2 con salida a terraza. Tres dormitorios, el principal con baño en suite con vestidor incorporado. Otros dos baños completos. Amplia cocina con habitación y baño de servicio. Numerosos armarios. Calefacción central. Portero físico. Magnifico portal. Piscina comunitaria, dos pistas de tenis, zona infantil. Dos plazas de garaje con acceso directo. La vivienda se haya próximo al campo de golf de la zona. Zona cerca de todos los servicios disfrutando de la tranquilidad. Llame e infórmese sin compromiso.  ."" ";"Piso en venta en calle de rosalía de castro, Peñagrande, Madrid";"8e+05";"265";"3";"1ª";"-3.7329274";"40.4821185"
"20";"https://www.idealista.com/inmueble/29577418/";" ""Estupendo chalet independiente ubicado cerca del parque Juan Carlos I, con buenas vistas y una bonita parcela. Es una vivienda muy luminosa y destaca la amplitud de los dormitorios y baños.Las calidades son magníficas, siendo la carpintería de puertas y ventanas de madera de haya y las ventanas de seguridad de Kömerling.La vivienda esta ubicada en una de las zonas residenciales más tranquilas de Madrid y, a la vez, mejor comunicadas y cerca de comercios y de todo tipo de servicios.DESCRIPCIÓN:4 Dormitorios + 3 Baños + Aseo de invitados-Planta principal:Salón comedor-Porche + jardín-Aseo invitados con ducha-Cocina con office-Zona lavandería / depensa-Despacho o dormitorio-Primera planta:3 Dormitorios (Dormitorio ppal con baño y vestidor) + 2 Baños-Planta ático: Buhardilla (37 m2)-Planta semisótano: Garaje (4 coches)- Cuarto de instalaciones-Calefacción ind gas natural suelo radiante con termostato en cada estancia."" ";" Casa o chalet independiente en venta en Campo de las Naciones-Corralejos, Madrid";"745000";"375";"4";"Hipoteca 1.912 eur/mes - ";"-3.5821105";"40.4653239"
"21";"https://www.idealista.com/inmueble/1739135/";" ""Suelo de tarima flotante color haya recién puesta. Paredes recién pintadas en gotelé de color blanco. Dispone de vídeo portero. Listo para entrar a vivir. El edificio esta en perfecto estado, acaba de pasar la inspección técnica de edificios y no ha tenido ningún problema. Céntrico y muy bien comunicado por m-30, m-40, parada de autobús en la puerta (nº 23) y el metro (linea circular). Muy cerca de grandes superficies comerciales: parque sur, isla azul, mercadona, super sol, etc Distribución: Terraza descubierta de 6 m2 2 vecinos en el edificio."" ";"Piso en venta en calle Antonio López, 114, Moscardó, Madrid";"3e+05";"87";"3";"2ª";"-3.699523";"40.3880796"
"22";"https://www.idealista.com/inmueble/25361464/";" ""Jorsa Inmobiliaria & Abogados vende piso muy bien situado, en entorno agradable y tranquilo, rodeado de jardines. tres dormitorios dobles, 2 baños completos, cocina amueblada con tendedero cubierto, salón con terraza acristalada, a la terraza se accede desde el salón y el dormitorio principal. la finca dispone de jardines y piscina. vivienda muy agradable y espaciosa.Nos satisface que haya elegido usted uno de nuestros inmuebles, puede contactar con nosotros y aprovecharse de las ventajas que le ofrecemos:-Experiencia en el sector inmobiliario.-Asesor personal experto exclusivo para orientarle y ayudarle durante todo el proceso.-Servicio integral con las máximas garantías.JORSA INMOBILIARIA & ABOGADOS le ofrece un servicio integral de consultoría e intermediación dentro del sector inmobiliario español.Nos avalan muchos años en el sector y un equipo altamente cualificado de profesionales con experiencia en la tasación, comercialización y asesoramiento jurídico para la adquisición o venta de su inmueble.JORSA INMOBILIARIA & ABOGADOS cuenta con Agente de la Propiedad Inmobiliaria Titulado y Abogado en ejercicio.Desde nuestros inicios JORSA INMOBILIARIA & ABOGADOS ha mantenido siempre unas máximas que han marcado la diferencia: prioridad en el cliente y ofrecer un servicio siguiendo lo más altos estándares de calidad. Máximas que han llevado a JORSA INMOBILIARIA & ABOGADOS a convertirse en la inmobiliaira líder en comercialización de viviendas en venta y alquiler en la zona de Coronales, Alameda de Osuna y Timón y en la inmobiliaria de referencia de distritos como Salamanca o Chamberí, con varias oficinas en Madrid."" ";"Piso en venta en calle Balandro, Alameda de Osuna, Madrid";"290000";"90";"3";"Bajo";"-3.592787";"40.4520777"
"23";"https://www.idealista.com/inmueble/27878271/";" ""CASTELLANA, CUZCO, EXTRAORDINARIO PISO con ESPECTACULARES vistas DE LA SIERRA en Avenida de Brasil nº 19, Planta 16 de 17, orientación Oeste, cercano a la Plaza de Cuzco, entre Orense y Capitán Haya. Con una superficie construida de 144 m2 y 109 m2 útiles, completamente reformado con materiales y acabados de primera calidad, para entrar a vivir. Todas sus estancias exteriores y con luz natural. Consta de dos habitaciones (posibilidad de 3), dos cuartos de baño completos (uno de ellos en suite), habitación principal 18 m2 con vestidor y baño en suite, salón de 35 m2, cocina de 20 m2. Aire acondicionado frío-calor en salón. Calefacción y agua caliente central por gasoleo. Cuatro vecinos por planta, 4 ascensores y 1 montacargas en el edificio. Entrada de servicio tanto en portal como en vivienda. Zona absolutamente tranquila y silenciosa, edificio rodeado de zonas ajardinadas. Magníficamente comunicado, próximo a todo tipo de servicios (colegios, metro, múltiples líneas de autobús, restaurantes, centros comerciales, etc. ). Posibilidad de garage en el propio edificio. Teléfonos de contacto (particulares): 635 491 048 (Nieves) y 91 556 47 34. Abstenerse agencias."" ";"Piso en venta en avenida de Brasil, 19, Cuzco-Castillejos, Madrid";"639000";"144";"2";"16ª";"-3.6931169";"40.4576025"
"24";"https://www.idealista.com/inmueble/31336666/";" ""Retail Homes, nuestro departamento residencial de casas exclusivas, vende magnífico piso en la mejor zona de la calle Capitán Haya de Madrid, muy bien comunicado. Características: • Piso de 123 m² exterior en 3º planta• Magníficas vistas• Muy luminosa• Altura de 2,7 metros• Hall• 4 habitaciones • 1 despacho• Salón comedor• Terraza cubierta• 1 baño completo• 2 aseos• Calefacción y agua caliente central• Ascensor• Edificio con conserje• Plaza de garaje opcional• Cercano a: RESTAURANTE EL GARBÍ, JUZGADOS DE PLAZA CASTILLA, CENTRO DE EXPOSICIONES ARTE CANAL, RESTAURANTE LA TAGLIATELLA, BILLARNET CAFÉ, EL CASERIO, EL ESPIGÓN, MARISQUERÍA LA CHALANA, RESTAURANTE PIÑERA, ASADOR ANSORENA, LA PENELA, BURGER LOBBY, ETC.• Muy buena comunicación: metro, autobús, etc.Retail Homes, especialista de referencia en propiedades de lujo. Disponemos de más viviendas exclusivas en las zonas más prestigiosas de Madrid."" ";"Piso en venta en calle capitan haya, Cuzco-Castillejos, Madrid";"560000";"123";"5";"3ª";"-3.6920633";"40.4648499"
"25";"https://www.idealista.com/inmueble/1675697/";" ""Exclusiva vivienda situada en la Isla de Chamartín (Arturo Soria), Edificio Panorama. 75m2 construidos/50m2 útiles, 7ª planta con vista a Paseo la Castellana, muy luminoso. Edificio galardonado con 2 premios de Arquitectura. Baño con hidromasaje y suelo de mármol travertino. Cocina completamente amueblada con electrodomésticos Siemens (vitrocerámica, campana, horno, etc. ), tendedero, salón comedor. Suelo parquet de haya, calefacción radial, ventanas de aluminio anti-ruido, aire acondicionado, alarma y videoportero. Excelentes calidades. Con trastero y plaza de garaje incluídas. La parcela es de 1000m2 con zonas comunes: parque infantil, piscinas (dos), gimnasio, sauna y portero 24h."" ";"Piso en venta en calle Dulce Chacón, 33, Virgen del Cortijo - Manoteras, Madrid";"3e+05";"75";"1";"7ª";"-3.668862";"40.4856665"
"26";"https://www.idealista.com/inmueble/32394973/";" ""RESERVADO (Abstenerse Inmobiliarias! ) Vivienda de 2 dormitorios y 2 baños con garaje y trastero en zona de entrada a Madrid Río.En el interior: Calefacción independiente de gas natural, caldera Saunier Duval, instalación de aire acondicionado, suelo de parquet, puertas en madera de haya, armarios empotrados en dormitorios, baños en mármol, (ambos con bañera), ventanas climalit y puerta blindada. Estado seminuevo, finca de 2001.En la comunidad: Portero físico, gimnasio, 2 saunas, tendedero comunitario en azotea y parque público a la salida de la zona comunitaria.Transporte: Muy bien comunicado con M30 y M40 (2 minutos) autobús (5 minutos andando), metro (7 minutos andando) y la cómoda entrada a Madrid Río para pasear. En la zona: Centro de Salud a 5 minutos, guardería en la finca contigua, colegios, Mercadona, Parque Tierno Galván y Centro de Creación, Contemporánea, Matadero Madrid."" ";"Piso en venta en calle teresa lópez valcárcel, 17, Legazpi, Madrid";"260000";"75";"2";"2ª";"-3.6946062";"40.3876173"
